Occupation,Women's Earnings as a Percentage of Men's Earnings
"Judges, magistrates, and other judicial workers",56.3
"Financial clerks, all other",56.5
"Title examiners, abstractors, and searchers",56.8
Property appraisers and assessors,62
"Sales and related workers, all other",62.6
Other financial specialists,62.7
Personal financial advisors,62.7
Credit counselors and loan officers,63.1
Driver/sales workers and truck drivers,64
Financial managers,66.3
Insurance sales agents,66.7
"Securities, commodities, and financial services sales",66.7
Bailiffs,67.5
Cardiovascular technologists and technicians,67.5
First-line supervisors of housekeeping and janitorial,68.1
Sales managers,68.1
Dental and medical appliance technicians,68.6
Retail salespersons,68.8
Diagnostic medical sonographers,69.1
"Farmers, ranchers, and other agricultural managers",70.2
"Inspectors, testers, sorters, samplers, and weighers",70.6
First-line supervisors of production and operating workers,70.7
Database administrators and architects,70.9
Dining room attendants and bartender helpers,71
Nuclear medicine technologists and medical dosimetrists,71.4
