year,m_civilian_population,m_total,m_percent_population,m_total_employed,m_pct_pop_employed,m_total_unemployed,m_pct_unemployed,m_not_in_labor_force,w_civilian_population,w_total,w_percent_population,w_total_employed,w_pct_pop_employed,w_total_unemployed,w_pct_unemployed,w_not_in_labor_force
1982,81523,62450,76.6,56271,69,6179,9.9,19073,90748,47755,52.6,43256,47.7,4499,9.4,42993
1983,82531,63047,76.4,56787,68.8,6260,9.9,19484,91684,48503,52.9,44047,48,4457,9.2,43181
1984,83605,63835,76.4,59091,70.7,4744,7.4,19771,92778,49709,53.6,45915,49.5,3794,7.6,43068
1985,84469,64411,76.3,59891,70.9,4521,7,20058,93736,51050,54.5,47259,50.4,3791,7.4,42686
1986,85798,65422,76.3,60892,71,4530,6.9,20376,94789,52413,55.3,48706,51.4,3707,7.1,42376
1987,86899,66207,76.2,62107,71.5,4101,6.2,20692,95853,53658,56,50334,52.5,3324,6.2,42195
1988,87857,66927,76.2,63273,72,3655,5.5,20930,96756,54742,56.6,51696,53.4,3046,5.6,42014
1989,88762,67840,76.4,64315,72.5,3525,5.2,20923,97630,56030,57.4,53027,54.3,3003,5.4,41601
1990,90377,69011,76.4,65104,72,3906,5.7,21367,98787,56829,57.5,53689,54.3,3140,5.5,41957
1991,91278,69168,75.8,64223,70.4,4946,7.2,22110,99646,57178,57.4,53496,53.7,3683,6.4,42468
1992,92270,69964,75.8,64440,69.8,5523,7.9,22306,100535,58141,57.8,54052,53.8,4090,7,42394
1993,93332,70404,75.4,65349,70,5055,7.2,22927,101506,58795,57.9,54910,54.1,3885,6.6,42711
1994,94355,70817,75.1,66450,70.4,4367,6.2,23538,102460,60239,58.8,56610,55.3,3629,6,42221
1995,95178,71360,75,67377,70.8,3983,5.6,23818,103406,60944,58.9,57523,55.6,3421,5.6,42462
1996,96206,72087,74.9,68207,70.9,3880,5.4,24119,104385,61857,59.3,58501,56,3356,5.4,42528
1997,97715,73261,75,69685,71.3,3577,4.9,24454,105418,63036,59.8,59873,56.8,3162,5,42382
1998,98758,73959,74.9,70693,71.6,3266,4.4,24799,106462,63714,59.8,60771,57.1,2944,4.6,42748
1999,99722,74512,74.7,71446,71.6,3066,4.1,25210,108031,64855,60,62042,57.4,2814,4.3,43175
2000,101964,76280,74.8,73305,71.9,2975,3.9,25684,110613,66303,59.9,63586,57.5,2717,4.1,44310
2001,103282,76886,74.4,73196,70.9,3690,4.8,26396,111811,66848,59.8,63737,57,3111,4.7,44962
2002,104585,77500,74.1,72903,69.7,4597,5.9,27085,112985,67363,59.6,63582,56.3,3781,5.6,45621
2003,106435,78238,73.5,73332,68.9,4906,6.3,28197,114733,68272,59.5,64404,56.1,3868,5.7,46461
2004,107710,78980,73.3,74524,69.2,4456,5.6,28730,115647,68421,59.2,64728,56,3694,5.4,47225
2005,109151,80033,73.3,75973,69.6,4059,5.1,29119,116931,69288,59.3,65757,56.2,3531,5.1,47643
2006,110605,81255,73.5,77502,70.1,3753,4.6,29350,118210,70173,59.4,66925,56.6,3247,4.6,48037
2007,112173,82136,73.2,78254,69.8,3882,4.7,30036,119694,70988,59.3,67792,56.6,3196,4.5,48707
2008,113113,82520,73,77486,68.5,5033,6.1,30593,120675,71767,59.5,67876,56.2,3891,5.4,48908
2009,114136,82123,72,73670,64.5,8453,10.3,32013,121665,72019,59.2,66208,54.4,5811,8.1,49646
2010,115174,81985,71.2,73359,63.7,8626,10.5,33189,122656,71904,58.6,65705,53.6,6199,8.6,50752
2011,116317,81975,70.5,74290,63.9,7684,9.4,34343,123300,71642,58.1,65579,53.2,6063,8.5,51658
2012,117343,82327,70.2,75555,64.4,6771,8.2,35017,125941,72648,57.7,66914,53.1,5734,7.9,53293
2013,118555,82667,69.7,76353,64.4,6314,7.6,35889,127124,72722,57.2,67577,53.2,5146,7.1,54401
2014,119748,82882,69.2,77692,64.9,5190,6.3,36865,128199,73039,57,68613,53.5,4426,6.1,55159
2015,121101,83620,69.1,79131,65.3,4490,5.4,37481,129700,73510,56.7,69703,53.7,3807,5.2,56190
2016,122497,84755,69.2,80568,65.8,4187,4.9,37743,131040,74432,56.8,70868,54.1,3564,4.8,56608
2017,123275,85145,69.1,81402,66,3743,4.4,38130,131804,75175,57,71936,54.6,3239,4.3,56629
2018,124678,86096,69.1,82698,66.3,3398,3.9,38582,133112,75978,57.1,73063,54.9,2916,3.8,57134
2019,125353,86687,69.2,83460,66.6,3227,3.7,38667,133822,76852,57.4,74078,55.4,2774,3.6,56970
2020,125922,85204,67.7,78560,62.4,6644,7.8,40718,134407,75538,56.2,69234,51.5,6304,8.3,58869
2021,126487,85505,67.6,80829,63.9,4676,5.5,40983,134958,75699,56.1,71752,53.2,3948,5.2,59259
2022,128617,87421,68,84203,65.5,3218,3.7,41197,135356,76866,56.8,74089,54.7,2778,3.6,58490
