year,civilian_population,total,percent_population,total_employed,pct_pop_employed,total_unemployed,pct_unemployed,not_in_labor_force
1982,"81,523","62,450",76.6,"56,271",69.0,"6,179",9.9,"19,073"
1983,"82,531","63,047",76.4,"56,787",68.8,"6,260",9.9,"19,484"
1984,"83,605","63,835",76.4,"59,091",70.7,"4,744",7.4,"19,771"
1985,"84,469","64,411",76.3,"59,891",70.9,"4,521",7.0,"20,058"
1986,"85,798","65,422",76.3,"60,892",71.0,"4,530",6.9,"20,376"
1987,"86,899","66,207",76.2,"62,107",71.5,"4,101",6.2,"20,692"
1988,"87,857","66,927",76.2,"63,273",72.0,"3,655",5.5,"20,930"
1989,"88,762","67,840",76.4,"64,315",72.5,"3,525",5.2,"20,923"
1990,"90,377","69,011",76.4,"65,104",72.0,"3,906",5.7,"21,367"
1991,"91,278","69,168",75.8,"64,223",70.4,"4,946",7.2,"22,110"
1992,"92,270","69,964",75.8,"64,440",69.8,"5,523",7.9,"22,306"
1993,"93,332","70,404",75.4,"65,349",70.0,"5,055",7.2,"22,927"
1994,"94,355","70,817",75.1,"66,450",70.4,"4,367",6.2,"23,538"
1995,"95,178","71,360",75.0,"67,377",70.8,"3,983",5.6,"23,818"
1996,"96,206","72,087",74.9,"68,207",70.9,"3,880",5.4,"24,119"
1997,"97,715","73,261",75.0,"69,685",71.3,"3,577",4.9,"24,454"
1998,"98,758","73,959",74.9,"70,693",71.6,"3,266",4.4,"24,799"
1999,"99,722","74,512",74.7,"71,446",71.6,"3,066",4.1,"25,210"
2000,"101,964","76,280",74.8,"73,305",71.9,"2,975",3.9,"25,684"
2001,"103,282","76,886",74.4,"73,196",70.9,"3,690",4.8,"26,396"
2002,"104,585","77,500",74.1,"72,903",69.7,"4,597",5.9,"27,085"
2003,"106,435","78,238",73.5,"73,332",68.9,"4,906",6.3,"28,197"
2004,"107,710","78,980",73.3,"74,524",69.2,"4,456",5.6,"28,730"
2005,"109,151","80,033",73.3,"75,973",69.6,"4,059",5.1,"29,119"
2006,"110,605","81,255",73.5,"77,502",70.1,"3,753",4.6,"29,350"
2007,"112,173","82,136",73.2,"78,254",69.8,"3,882",4.7,"30,036"
2008,"113,113","82,520",73.0,"77,486",68.5,"5,033",6.1,"30,593"
2009,"114,136","82,123",72.0,"73,670",64.5,"8,453",10.3,"32,013"
2010,"115,174","81,985",71.2,"73,359",63.7,"8,626",10.5,"33,189"
2011,"116,317","81,975",70.5,"74,290",63.9,"7,684",9.4,"34,343"
2012,"117,343","82,327",70.2,"75,555",64.4,"6,771",8.2,"35,017"
2013,"118,555","82,667",69.7,"76,353",64.4,"6,314",7.6,"35,889"
2014,"119,748","82,882",69.2,"77,692",64.9,"5,190",6.3,"36,865"
2015,"121,101","83,620",69.1,"79,131",65.3,"4,490",5.4,"37,481"
2016,"122,497","84,755",69.2,"80,568",65.8,"4,187",4.9,"37,743"
2017,"123,275","85,145",69.1,"81,402",66.0,"3,743",4.4,"38,130"
2018,"124,678","86,096",69.1,"82,698",66.3,"3,398",3.9,"38,582"
2019,"125,353","86,687",69.2,"83,460",66.6,"3,227",3.7,"38,667"
2020,"125,922","85,204",67.7,"78,560",62.4,"6,644",7.8,"40,718"
2021,"126,487","85,505",67.6,"80,829",63.9,"4,676",5.5,"40,983"
2022,"128,617","87,421",68.0,"84,203",65.5,"3,218",3.7,"41,197"
