year,civilian_population,total,percent_population,total_employed,pct_pop_employed,total_unemployed,pct_unemployed,not_in_labor_force
1982,"90,748","47,755",52.6,"43,256",47.7,"4,499",9.4,"42,993"
1983,"91,684","48,503",52.9,"44,047",48.0,"4,457",9.2,"43,181"
1984,"92,778","49,709",53.6,"45,915",49.5,"3,794",7.6,"43,068"
1985,"93,736","51,050",54.5,"47,259",50.4,"3,791",7.4,"42,686"
1986,"94,789","52,413",55.3,"48,706",51.4,"3,707",7.1,"42,376"
1987,"95,853","53,658",56.0,"50,334",52.5,"3,324",6.2,"42,195"
1988,"96,756","54,742",56.6,"51,696",53.4,"3,046",5.6,"42,014"
1989,"97,630","56,030",57.4,"53,027",54.3,"3,003",5.4,"41,601"
1990,"98,787","56,829",57.5,"53,689",54.3,"3,140",5.5,"41,957"
1991,"99,646","57,178",57.4,"53,496",53.7,"3,683",6.4,"42,468"
1992,"100,535","58,141",57.8,"54,052",53.8,"4,090",7.0,"42,394"
1993,"101,506","58,795",57.9,"54,910",54.1,"3,885",6.6,"42,711"
1994,"102,460","60,239",58.8,"56,610",55.3,"3,629",6.0,"42,221"
1995,"103,406","60,944",58.9,"57,523",55.6,"3,421",5.6,"42,462"
1996,"104,385","61,857",59.3,"58,501",56.0,"3,356",5.4,"42,528"
1997,"105,418","63,036",59.8,"59,873",56.8,"3,162",5.0,"42,382"
1998,"106,462","63,714",59.8,"60,771",57.1,"2,944",4.6,"42,748"
1999,"108,031","64,855",60.0,"62,042",57.4,"2,814",4.3,"43,175"
2000,"110,613","66,303",59.9,"63,586",57.5,"2,717",4.1,"44,310"
2001,"111,811","66,848",59.8,"63,737",57.0,"3,111",4.7,"44,962"
2002,"112,985","67,363",59.6,"63,582",56.3,"3,781",5.6,"45,621"
2003,"114,733","68,272",59.5,"64,404",56.1,"3,868",5.7,"46,461"
2004,"115,647","68,421",59.2,"64,728",56.0,"3,694",5.4,"47,225"
2005,"116,931","69,288",59.3,"65,757",56.2,"3,531",5.1,"47,643"
2006,"118,210","70,173",59.4,"66,925",56.6,"3,247",4.6,"48,037"
2007,"119,694","70,988",59.3,"67,792",56.6,"3,196",4.5,"48,707"
2008,"120,675","71,767",59.5,"67,876",56.2,"3,891",5.4,"48,908"
2009,"121,665","72,019",59.2,"66,208",54.4,"5,811",8.1,"49,646"
2010,"122,656","71,904",58.6,"65,705",53.6,"6,199",8.6,"50,752"
2011,"123,300","71,642",58.1,"65,579",53.2,"6,063",8.5,"51,658"
2012,"125,941","72,648",57.7,"66,914",53.1,"5,734",7.9,"53,293"
2013,"127,124","72,722",57.2,"67,577",53.2,"5,146",7.1,"54,401"
2014,"128,199","73,039",57.0,"68,613",53.5,"4,426",6.1,"55,159"
2015,"129,700","73,510",56.7,"69,703",53.7,"3,807",5.2,"56,190"
2016,"131,040","74,432",56.8,"70,868",54.1,"3,564",4.8,"56,608"
2017,"131,804","75,175",57.0,"71,936",54.6,"3,239",4.3,"56,629"
2018,"133,112","75,978",57.1,"73,063",54.9,"2,916",3.8,"57,134"
2019,"133,822","76,852",57.4,"74,078",55.4,"2,774",3.6,"56,970"
2020,"134,407","75,538",56.2,"69,234",51.5,"6,304",8.3,"58,869"
2021,"134,958","75,699",56.1,"71,752",53.2,"3,948",5.2,"59,259"
2022,"135,356","76,866",56.8,"74,089",54.7,"2,778",3.6,"58,490"
